Date,Equity_NSE,Bond,Gold
2023-02-06,17764.599609375,50.88999938964844,49.040000915527344
2023-02-07,17721.5,50.90999984741211,49.06999969482422
2023-02-08,17871.69921875,50.79999923706055,49.20000076293945
2023-02-09,17893.44921875,50.7599983215332,49.11000061035156
2023-02-10,17856.5,50.720001220703125,48.65999984741211
2023-02-13,17770.900390625,50.68000030517578,48.66999816894531
2023-02-14,17929.849609375,50.650001525878906,48.790000915527344
2023-02-15,18015.849609375,50.61000061035156,48.15999984741211
2023-02-16,18035.849609375,50.7400016784668,48.18000030517578
2023-02-17,17944.19921875,50.709999084472656,47.95000076293945
2023-02-20,17844.599609375,50.75,48.380001068115234
2023-02-21,17826.69921875,50.720001220703125,48.2599983215332
2023-02-22,17554.30078125,50.65999984741211,48.15999984741211
2023-02-23,17511.25,50.72999954223633,47.86000061035156
2023-02-24,17465.80078125,50.66999816894531,47.779998779296875
2023-02-27,17392.69921875,50.689998626708984,47.439998626708984
2023-02-28,17303.94921875,50.650001525878906,47.40999984741211
2023-03-01,17450.900390625,50.70000076293945,47.77000045776367
2023-03-02,17321.900390625,50.709999084472656,47.810001373291016
2023-03-03,17594.349609375,50.65999984741211,47.81999969482422
2023-03-06,17711.44921875,50.79999923706055,47.83000183105469
2023-03-08,17754.400390625,50.709999084472656,47.119998931884766
2023-03-09,17589.599609375,50.720001220703125,47.06999969482422
2023-03-10,17412.900390625,50.849998474121094,47.43000030517578
2023-03-13,17154.30078125,51.029998779296875,48.81999969482422
2023-03-14,17043.30078125,50.97999954223633,49.130001068115234
2023-03-15,16972.150390625,51.040000915527344,48.93000030517578
2023-03-16,16985.599609375,51.040000915527344,49.70000076293945
2023-03-17,17100.05078125,51.06999969482422,49.75
2023-03-20,16988.400390625,51.15999984741211,50.90999984741211
2023-03-21,17107.5,51.150001525878906,50.47999954223633
2023-03-22,17151.900390625,51.18000030517578,50.040000915527344
2023-03-23,17076.900390625,51.2400016784668,50.36000061035156
2023-03-24,16945.05078125,51.25,50.900001525878906
2023-03-27,16985.69921875,51.31999969482422,50.400001525878906
2023-03-28,16951.69921875,51.369998931884766,50.40999984741211
2023-03-29,17080.69921875,51.470001220703125,50.689998626708984
2023-03-31,17359.75,51.439998626708984,51.06999969482422
2023-04-03,17398.05078125,51.38999938964844,50.79999923706055
2023-04-05,17557.05078125,51.38999938964844,51.86000061035156
2023-04-06,17599.150390625,51.54999923706055,51.810001373291016
2023-04-10,17624.05078125,51.689998626708984,51.380001068115234
2023-04-11,17722.30078125,51.689998626708984,51.54999923706055
2023-04-12,17812.400390625,51.689998626708984,51.720001220703125
2023-04-13,17828.0,51.72999954223633,51.939998626708984
2023-04-17,17706.849609375,51.65999984741211,51.70000076293945
2023-04-18,17660.150390625,51.720001220703125,51.52000045776367
2023-04-19,17618.75,51.720001220703125,51.119998931884766
2023-04-20,17624.44921875,51.7599983215332,51.63999938964844
2023-04-21,17624.05078125,51.880001068115234,51.290000915527344
2023-04-24,17743.400390625,51.900001525878906,51.2599983215332
2023-04-25,17769.25,51.90999984741211,51.31999969482422
2023-04-26,17813.599609375,51.90999984741211,51.47999954223633
2023-04-27,17915.05078125,51.93000030517578,51.470001220703125
2023-04-28,18065.0,51.90999984741211,51.25
2023-05-02,18147.650390625,51.90999984741211,51.310001373291016
2023-05-03,18089.849609375,52.02000045776367,52.060001373291016
2023-05-04,18255.80078125,52.040000915527344,52.5099983215332
2023-05-05,18069.0,52.02000045776367,52.5
2023-05-08,18264.400390625,52.099998474121094,52.16999816894531
2023-05-09,18265.94921875,52.060001373291016,52.369998931884766
2023-05-10,18315.099609375,52.04999923706055,52.43000030517578
2023-05-11,18297.0,52.08000183105469,52.369998931884766
2023-05-12,18314.80078125,52.09000015258789,51.90999984741211
2023-05-15,18398.849609375,52.220001220703125,52.279998779296875
2023-05-16,18286.5,52.2599983215332,52.04999923706055
2023-05-17,18181.75,52.310001373291016,51.619998931884766
2023-05-18,18129.94921875,52.31999969482422,51.59000015258789
2023-05-19,18203.400390625,52.349998474121094,51.439998626708984
2023-05-22,18314.400390625,52.41999816894531,51.97999954223633
2023-05-23,18348.0,52.36000061035156,51.43000030517578
2023-05-24,18285.400390625,52.38999938964844,51.75
2023-05-25,18321.150390625,52.369998931884766,51.45000076293945
2023-05-26,18499.349609375,52.40999984741211,51.33000183105469
2023-05-29,18598.650390625,52.36000061035156,51.18000030517578
2023-05-30,18633.849609375,52.369998931884766,51.13999938964844
2023-05-31,18534.400390625,52.45000076293945,51.130001068115234
2023-06-01,18487.75,52.47999954223633,50.9900016784668
2023-06-02,18534.099609375,52.560001373291016,51.31999969482422
2023-06-05,18593.849609375,52.5,50.720001220703125
2023-06-06,18599.0,52.5099983215332,51.06999969482422
2023-06-07,18726.400390625,52.529998779296875,50.9900016784668
2023-06-08,18634.55078125,52.459999084472656,50.70000076293945
2023-06-09,18563.400390625,52.41999816894531,50.959999084472656
2023-06-12,18601.5,52.4900016784668,50.93000030517578
2023-06-13,18716.150390625,52.529998779296875,50.88999938964844
2023-06-14,18755.900390625,52.5099983215332,50.560001373291016
2023-06-15,18688.099609375,52.47999954223633,50.15999984741211
2023-06-16,18826.0,52.5099983215332,50.65999984741211
2023-06-19,18755.44921875,52.54999923706055,50.529998779296875
2023-06-20,18816.69921875,52.5099983215332,50.4900016784668
2023-06-21,18856.849609375,52.5,50.09000015258789
2023-06-22,18771.25,52.47999954223633,49.86000061035156
2023-06-23,18665.5,52.470001220703125,49.75
2023-06-26,18691.19921875,52.5099983215332,49.9900016784668
2023-06-27,18817.400390625,52.529998779296875,49.79999923706055
2023-06-28,18972.099609375,52.54999923706055,49.54999923706055
2023-06-30,19189.05078125,52.47999954223633,49.310001373291016
2023-07-03,19322.55078125,52.45000076293945,49.560001373291016
2023-07-04,19389.0,52.439998626708984,49.880001068115234
2023-07-05,19398.5,52.43000030517578,49.97999954223633
2023-07-06,19497.30078125,52.38999938964844,49.900001525878906
2023-07-07,19331.80078125,52.40999984741211,50.02000045776367
2023-07-10,19355.900390625,52.36000061035156,50.029998779296875
2023-07-11,19439.400390625,52.4900016784668,50.15999984741211
2023-07-12,19384.30078125,52.4900016784668,50.099998474121094
2023-07-13,19413.75,52.56999969482422,50.52000045776367
2023-07-14,19564.5,52.56999969482422,50.59000015258789
2023-07-17,19711.44921875,52.59000015258789,50.4900016784668
2023-07-18,19749.25,52.68000030517578,50.65999984741211
2023-07-19,19833.150390625,52.70000076293945,51.02000045776367
2023-07-20,19979.150390625,52.63999938964844,51.08000183105469
2023-07-21,19745.0,52.619998931884766,50.650001525878906
2023-07-24,19672.349609375,52.68000030517578,50.650001525878906
2023-07-25,19680.599609375,52.61000061035156,50.58000183105469
2023-07-26,19778.30078125,52.650001525878906,50.84000015258789
2023-07-27,19659.900390625,52.61000061035156,50.93000030517578
2023-07-28,19646.05078125,52.56999969482422,50.66999816894531
2023-07-31,19753.80078125,52.540000915527344,50.65999984741211
2023-08-01,19733.55078125,52.59000015258789,50.689998626708984
2023-08-02,19526.55078125,52.59000015258789,50.68000030517578
2023-08-03,19381.650390625,52.560001373291016,50.540000915527344
2023-08-04,19517.0,52.5099983215332,50.5
2023-08-07,19597.30078125,52.599998474121094,50.4900016784668
2023-08-08,19570.849609375,52.63999938964844,50.560001373291016
2023-08-09,19632.55078125,52.65999984741211,50.369998931884766
2023-08-10,19543.099609375,52.63999938964844,50.22999954223633
2023-08-11,19428.30078125,52.65999984741211,50.130001068115234
2023-08-14,19434.55078125,52.650001525878906,50.09000015258789
2023-08-16,19465.0,52.650001525878906,50.11000061035156
2023-08-17,19365.25,52.59000015258789,49.81999969482422
2023-08-18,19310.150390625,52.619998931884766,49.75
2023-08-21,19393.599609375,52.68000030517578,49.68000030517578
2023-08-22,19396.44921875,52.66999816894531,49.900001525878906
2023-08-23,19444.0,52.77000045776367,49.810001373291016
2023-08-24,19386.69921875,52.77000045776367,50.029998779296875
2023-08-25,19265.80078125,52.779998779296875,49.939998626708984
2023-08-28,19306.05078125,52.849998474121094,49.79999923706055
2023-08-29,19342.650390625,52.84000015258789,49.97999954223633
2023-08-30,19347.44921875,52.810001373291016,50.34000015258789
2023-08-31,19253.80078125,52.869998931884766,50.349998474121094
2023-09-01,19435.30078125,52.849998474121094,50.369998931884766
2023-09-04,19528.80078125,52.88999938964844,50.439998626708984
2023-09-05,19574.900390625,52.86000061035156,50.349998474121094
2023-09-06,19611.05078125,52.849998474121094,50.310001373291016
2023-09-07,19727.05078125,52.939998626708984,50.16999816894531
2023-09-08,19819.94921875,52.900001525878906,50.209999084472656
2023-09-11,19996.349609375,52.79999923706055,50.15999984741211
2023-09-12,19993.19921875,52.970001220703125,50.02000045776367
2023-09-13,20070.0,52.959999084472656,49.880001068115234
2023-09-14,20103.099609375,53.13999938964844,49.880001068115234
2023-09-15,20192.349609375,53.08000183105469,50.119998931884766
2023-09-18,20133.30078125,53.029998779296875,50.439998626708984
2023-09-20,19901.400390625,53.04999923706055,50.380001068115234
2023-09-21,19742.349609375,53.02000045776367,50.27000045776367
2023-09-22,19674.25,53.099998474121094,50.220001220703125
2023-09-25,19674.55078125,53.08000183105469,50.220001220703125
2023-09-26,19664.69921875,53.06999969482422,50.02000045776367
2023-09-27,19716.44921875,53.130001068115234,49.70000076293945
2023-09-28,19523.55078125,53.02000045776367,49.369998931884766
2023-09-29,19638.30078125,53.040000915527344,49.290000915527344
2023-10-03,19528.75,53.060001373291016,48.83000183105469
2023-10-04,19436.099609375,53.0099983215332,48.36000061035156
2023-10-05,19545.75,53.060001373291016,48.25
